post_id|creator_name|hashtags|caption|likes|comments|shares|date
P090|leather_craft|#leatherwork #craft #handmade #artisan #DIY|Crafted this wallet by hand over 6 hours. Leather work is the most meditative hobby 👜|24500|876|654|2024-11-22
P091|coffee_around|#coffeetravel #cafe #specialtycoffee #beans #barista|Ranked the top 10 specialty coffee cities in the world ☕ Controversial picks included.|36800|2345|3890|2024-11-11
P092|travel_camping|#camping #outdoors #adventure #wilderness #tent|Woke up to elk grazing 10 feet from our tent 🦌 Yellowstone is something else.|52400|2100|3456|2024-11-06
P093|body_positive|#bodypositivity #selflove #confidence #wellness #health|Your body carried you through everything. It deserves more grace from you 💛|69800|5678|9012|2024-10-26
P094|architecture_modern|#modernarchitecture #design #building #urban #future|Zaha Hadid drew curves that no one thought were buildable. She built them anyway 🏗️|31500|1234|2100|2024-11-17
P095|street_dance|#streetdance #freestyle #urban #hiphop #dance|This impromptu cypher broke out and I got it all on camera 🎵 Energy was electric.|43700|2456|3890|2024-11-10
P096|slow_fashion|#slowfashion #ethical #sustainable #style #conscious|I haven't bought fast fashion in 2 years. Here's what my wardrobe looks like now 🌿|35900|1890|3102|2024-11-15
P097|travel_newzealand|#newzealand #lotr #nature #adventure #landscape|New Zealand looks like a film set because it basically is 🧝 Hobbiton was real.|61300|2890|4502|2024-11-04
P098|bbq_master|#bbq #grill #smokemeat #outdoor #food|18-hour brisket. That's it. That's the post 🥩🔥|47200|2100|3456|2024-11-12
P099|interior_jungle|#houseplants #urbanjungle #indoorplants #plantdad #green|My apartment has 87 plants. My landlord thinks I'm the building's ecosystem 🌿|58700|3456|4890|2024-11-03
P100|astrology_daily|#astrology #zodiac #horoscope #cosmos #spiritual|Mercury retrograde is over. You may now make good decisions again ♎|39800|4502|5678|2024-11-08
P101|travel_thailand|#thailand #bangkok #islands #culture #travel|Thailand in 2 weeks: temples, islands, street food, life-changing conversations 🙏|57200|2890|4102|2024-11-07
P102|fashion_diy|#diyfashion #upcycle #crafts #style #sustainable|Turned a $5 thrift store shirt into a statement piece. Tutorials in bio ✂️|33400|1678|2890|2024-11-16
P103|cat_kingdom|#cats #catsofinstagram #meow #pets #cute|My cat has vetoed every WFH call this week 🐱 Morale is low.|77400|5678|8901|2024-10-24
P104|travel_peru|#peru #macchupicchu #inca #hiking #southamerica|Machu Picchu at sunrise, no tourists. The alarm at 4AM was worth every second 🌄|65800|3456|5678|2024-10-27
P105|cold_plunge|#coldplunge #icebath #wellness #health #mindset|Day 30 of cold plunges. I'm either healing or broken. Results to follow 🥶|41200|2890|4102|2024-11-09
P106|travel_morocco|#morocco #marrakech #medina #souk #travel|Marrakech hit all my senses before I even left the airport 🇲🇦|52800|2345|3456|2024-11-05
P107|watercolor_art|#watercolor #art #painting #illustration #creative|The way pigment bleeds is why I'll never fully control this medium 🎨 I've made peace with it.|27600|1102|1456|2024-11-20
P108|endurance_run|#ultramarathon #trail #running #mountains #endurance|100 miles in 26 hours. My body is destroyed. My spirit has never been higher 🏔️|38900|3456|5678|2024-10-30
P109|travel_vietnam|#vietnam #hanoi #hoi #pho #culture|The traffic in Hanoi will break you — then you'll miss it when you leave 🛵|49400|2100|3102|2024-11-08
P110|guitar_journey|#guitarcover #acoustic #original #songwriting #music|Wrote and recorded this song after a really hard week. Sharing it feels vulnerable 🎸|34700|2890|3456|2024-11-13
P111|travel_canada|#canada #banff #rockies #nature #adventure|Banff in winter looks like a screensaver, but you're actually inside it 🏔️❄️|58100|2456|4102|2024-11-04
P112|self_portrait|#selfportrait #photography #art #conceptual #creative|6 months of self-portrait work, one image at a time. Here's what I noticed about myself 📷|31800|1678|2345|2024-11-17
P113|nutrition_facts|#nutrition #health #eating #science #wellness|The one thing nutritionists agree on might surprise you 🥗 Full breakdown in thread.|42500|2890|5678|2024-11-10
P114|abstract_art|#abstractart #contemporaryart #painting #gallery #artist|Expressionism lets me say what words can't. Three months of work in this canvas 🖌️|24700|1102|1234|2024-11-21
P115|travel_iceland|#iceland #aurora #northernlights #winter #nature|Aurora borealis at 2AM and I cried. Some beauty bypasses logic 🌌|76300|4502|7890|2024-10-22
P116|homegym_build|#homegym #fitness #workout #garage #gains|Built my home gym for $800. Tour in stories — you don't need a membership 💪|44100|2345|4502|2024-11-09
P117|travel_greece|#greece #athens #islands #cyclades #mediterranean|The Greek islands feel like a reward for all the decisions you got right ☀️|62700|2890|4890|2024-11-01
P118|tea_ceremony|#tea #ceremony #japanese #culture #mindfulness|The Japanese tea ceremony is 4 hours of intentional presence 🍵 Changed my perspective on time.|28300|1234|2100|2024-11-18
P119|fermentation_lab|#fermentation #kombucha #kimchi #health #gutbiome|My kitchen is now officially a fermentation lab. SCOBY update: thriving 🫙|22800|987|1456|2024-11-22
P120|parkour_life|#parkour #freerunning #urban #movement #fitness|The city is a gym if you know how to see it 🌆 Training montage now up.|37200|2100|2890|2024-11-12
P121|travel_portugal|#portugal #lisbon #porto #culture #europe|Lisbon: fado music, pastel de nata, and cobblestone streets — one city, a million feelings 🇵🇹|53600|2456|3890|2024-11-06
P122|ambient_music|#ambientmusic #soundscapes #music #electronic #chill|Made a 1-hour ambient album for focus and flow. Link in bio 🎧|19200|876|1678|2024-11-20
P123|trail_biking|#mountainbike #mtb #trails #outdoor #cycling|This trail is rated double black diamond. I understand why now 🚵|39800|1678|2890|2024-11-11
P124|travel_egypt|#egypt #pyramids #cairo #history #ancient|Standing at the base of the Great Pyramid, I felt very small and very lucky 🔺|61500|3102|5678|2024-10-29
P125|animation_art|#animation #2d #art #creative #motion|6 seconds of animation = 40 hours of work. Leaving this here 📽️|32400|1890|3456|2024-11-14
P126|travel_scotland|#scotland #highlands #castles #nature #uk|The Scottish Highlands have a kind of loneliness that doesn't feel lonely 🏴󠁧󠁢󠁳󠁣󠁴󠁿|47900|2345|4102|2024-11-07
P127|financial_free|#financialfreedom #fire #frugal #investing #retire|I hit my FIRE number at 34. Here's exactly what I did, every step 💰|71800|7890|15000|2024-10-20
P128|travel_turkey|#turkey #istanbul #culture #history #architecture|Istanbul is the only city that exists on two continents, in two worlds 🕌|56400|2890|4502|2024-11-03
P129|flow_state|#flowarts #poi #fire #performance #movement|1 year of poi practice filmed every single day 🔥 The progression is real.|35100|1678|3102|2024-11-15
P130|cloud_chaser|#clouds #weather #stormchasing #photography #nature|Chased this supercell for 200 miles. Weather photography is controlled madness ⛈️|43200|2100|4102|2024-11-08
P131|travel_brazil|#brazil #riodejaneiro #carnival #beach #culture|Brazil is color, sound, and joy compressed into a continent 🇧🇷|58900|3102|5678|2024-11-01
P132|film_photography|#filmphoto #35mm #analog #photography #darkroom|Shot my first roll of 35mm in 5 years. Film sees differently 📷|26700|1456|2100|2024-11-19
P133|travel_spain|#spain #barcelona #madrid #food #culture|Spanish food culture deserves its own religion 🥘 Three weeks of eating well.|54100|2567|4102|2024-11-05
P134|mindful_money|#budgeting #finance #debtfree #savings #frugal|Paid off $48K in student loans in 3 years. The spreadsheet that saved my life 📊|67200|5678|11234|2024-10-21
P135|drone_shots|#drone #aerial #photography #landscape #sky|Perspective changes everything. Shot this at 400 feet on a cloudy morning 🚁|48700|2100|3890|2024-11-10
P136|travel_australia|#australia #sydney #outback #wildlife #travel|Australia: where everything is beautiful and half of it will kill you 🦘|60200|3456|5678|2024-10-26
P137|strength_journey|#powerlifting #strength #fitness #barbell #lifting|400lb deadlift after 2 years of training. Proof that consistency > intensity 🏋️|52300|4102|6789|2024-10-28
P138|digital_art|#digitalart #illustration #procreate #art #creative|Started this piece as a sketch on my phone at 1AM 📱 Finished it 3 weeks later.|33900|1678|2345|2024-11-16
P139|travel_colombia|#colombia #bogota #medellin #culture #southamerica|Colombia destroyed every stereotype I had before visiting 🇨🇴 Go.|49700|2890|5100|2024-11-04
P140|river_kayak|#kayaking #whitewater #river #outdoors #adventure|Class IV rapids and absolutely nothing goes right — still the best Saturday of my life 🛶|37400|1890|3456|2024-11-13
P141|travel_cuba|#cuba #havana #culture #music #history|Havana froze in 1959 and somehow became more alive for it 🇨🇺|55300|2890|4502|2024-11-06
P142|interior_scandinavian|#scandinavian #nordic #homedecor #hygge #minimal|Hygge isn't a word, it's a temperature you set in your home 🕯️|40100|1890|3102|2024-11-15
P143|travel_nepal|#nepal #kathmandu #himalaya #trek #basecamp|EBC trek done. Standing at 5,364m realising altitude makes philosophy easier 🏔️|63800|3456|6789|2024-10-23
P144|knife_craft|#knife #blacksmith #metalwork #craft #handmade|Forged this knife from scratch over 3 days. Metal memory is a real thing 🔨|29400|1456|2345|2024-11-17
P145|travel_mexico|#mexico #oaxaca #cdmx #culture #food|Mexico City is having a cultural renaissance that rivals Paris in the 1920s 🇲🇽|56700|3102|5678|2024-10-31
P146|night_run|#nightrun #running #city #urban #cardio|Running the city at midnight when it's yours alone 🌙 5 miles of pure silence.|23800|987|1456|2024-11-21
P147|travel_switzerland|#switzerland #alps #skiing #nature #europe|Woke up to clouds below me in the Swiss Alps ☁️ This doesn't happen at sea level.|59400|2890|5100|2024-11-02
P148|origami_art|#origami #paper #art #japanese #fold|1200 folds, zero glue, pure geometry 📄 The tessellation took 4 weeks to master.|27100|1102|1890|2024-11-19
P149|travel_netherlands|#netherlands #amsterdam #tulips #cycling #europe|Amsterdam works because everyone bikes. Urban planning is a love language 🚲|44600|2345|3890|2024-11-08
P150|forest_bathing|#shinrinyoku #forest #nature #wellness #mindfulness|Spent 3 hours in the forest doing nothing in particular 🌲 Felt better than any meeting I've ever had.|36300|2100|4102|2024-11-12
P151|travel_costa_rica|#costarica #jungle #wildlife #pura #nature|Woke up to howler monkeys at 5AM in the cloud forest 🐒 Better than any alarm clock.|51200|2456|4502|2024-11-05
P152|photo_walk|#photowalk #documentary #street #community #life|One street. One hour. Twenty stories 📸 The world is always more interesting than you think.|32700|1456|2890|2024-11-16
P153|travel_china|#china #beijing #greatwall #culture #history|Walked 15km of the Great Wall alone at dawn 🧱 History has a different weight when you're inside it.|60100|3102|5678|2024-10-25
P154|piano_sessions|#piano #music #classical #practice #musician|Bach to basics — this piece has been humbling me for 6 months 🎹|24500|1234|1890|2024-11-20
P155|travel_argentina|#argentina #buenosaires #patagonia #tango #culture|Patagonia is not a destination, it's an argument for being alive 🌬️|57600|2890|5100|2024-10-29
P156|sport_climbing|#climbing #sportclimbing #outdoor #crags #fitness|Redpointed my first 5.13a 🧗 What a year of training actually looks like.|41700|2345|3456|2024-11-09
P157|travel_kenya|#kenya #masai #wildlife #safari #africa|A lion walked within 3 feet of our jeep and looked bored by us 🦁 Correct.|66900|4102|7890|2024-10-22
P158|bread_baking|#sourdough #bread #baking #fermentation #homecook|My sourdough starter is 2 years old. I name him Gerald. Gerald is thriving 🍞|50200|3456|5678|2024-11-03
P159|travel_ireland|#ireland #dublin #cliffs #moher #celtic|The Cliffs of Moher in a storm — wind, spray, ancient drama 🌊🇮🇪|46800|2100|3890|2024-11-07
P160|bike_commute|#cycling #commute #urban #eco #bike|Day 200 of cycling to work. I've lost 18lbs and found 40 minutes of peace daily 🚴|38900|2890|4890|2024-11-11
P161|travel_indonesia|#indonesia #bali #java #culture #temple|The Borobudur sunrise ritual starts at 4AM and there's no debate about whether it's worth it 🌅|62300|3102|5678|2024-10-27
P162|journaling_life|#journaling #writing #reflection #growth #words|3 years of daily journaling pages. The version of me on page 1 is a stranger 📓|35600|2456|4102|2024-11-14
P163|travel_france|#france #paris #provence #wine #culture|Provence lavender fields in July are worth planning your entire life around 💜|58400|2890|5100|2024-10-30
P164|strength_yoga|#yogastrength #handstand #inversions #practice #fitness|Handstand practice day 365. Proof that you can get upside down without a wall 🤸|43500|3102|5678|2024-11-06
P165|travel_croatia|#croatia #dubrovnik #islands #adriatic #europe|Game of Thrones filmed here but Croatia's real story is better 🏰|50900|2567|4502|2024-11-02
P166|comic_drawing|#comics #illustration #storytelling #panels #art|Chapter 3 of my webcomic is live. 200+ pages of a story I've been writing since 2019 📖|27800|2100|3890|2024-11-17
P167|travel_norway|#norway #fjords #hiking #midnight #sun|Hiking at midnight in summer Norway when the sun doesn't set 🌞 Time becomes optional.|64200|3456|6789|2024-10-24
P168|sourdough_pizza|#pizza #sourdough #homemade #cooking #italian|72-hour fermented dough, wood-fired oven, Neapolitan-style at home 🍕 This is the pizza era.|47300|2890|5100|2024-11-08
P169|travel_taiwan|#taiwan #taipei #nightmarket #culture #food|The night market in Taipei is everything a street food lover dreams about 🫙|49800|2456|4102|2024-11-04
P170|astrophysics_fan|#physics #astronomy #universe #math #science|Einstein's field equations describe spacetime. One hour with a whiteboard and we can walk through them 🔭|22400|1890|3456|2024-11-19
P171|travel_sweden|#sweden #stockholm #nature #nordic #design|Swedish design isn't minimalism by accident — it's minimalism as philosophy 🪵|41600|2100|3890|2024-11-11
P172|mushroom_forage|#foraging #mushrooms #nature #wild #food|Chanterelle season is here. Walked out with 4lbs and a philosophy 🍄|33700|2345|4502|2024-11-09
P173|travel_myanmar|#myanmar #temples #buddhism #bagan #culture|1,000 temples at sunrise from a hot air balloon 🎈 Some sights reorder your priorities.|60700|3102|5678|2024-10-28
P174|spoken_word|#poetry #spokenword #writing #creative #words|Performed this piece at an open mic last night. Shaking hands, cracked voice, didn't care 🎤|29300|2890|4890|2024-11-15
P175|travel_austria|#austria #vienna #classical #mountains #europe|Mozart's Vienna and snowboard halfpipe Austria are the same country. Let that sink in 🎵⛷️|46100|2100|3890|2024-11-06
P176|permaculture|#permaculture #gardening #sustainable #food #earth|Year 2 of our permaculture garden. We grew 70% of our food this summer 🥕|54200|4102|7890|2024-10-26
P177|travel_cambodia|#cambodia #angkorwat #history #temple #asia|Angkor Wat was built in the 12th century. Modern minds still can't fully explain how 🛕|55800|2890|5100|2024-11-01
P178|life_drawing|#lifedrawing #figure #art #sketch #anatomy|30-second gesture drawing: the most honest measure of how much you've improved 🖊️|21600|1102|1890|2024-11-20
P179|travel_chile|#chile #patagonia #torres #hiking #mountains|Torres del Paine in a 70km/h wind. Every step was an argument and I won all of them 💨|57300|3102|5678|2024-10-31|
P180|improv_comedy|#comedy #improv #theatre #performance #funny|Said yes to every improv scene last night. Strangest and best hour of my week 😂|32800|2456|4102|2024-11-13
P181|travel_russia|#russia #stpetersburg #hermitage #architecture #history|The Hermitage has 3 million works. You'd need 11 years to see them all 🏛️|44900|2100|3890|2024-11-07
